apps/frappe/frappe/public/js/frappe/form/grid_form.html +14,Remove,Entfernen
apps/frappe/frappe/public/js/frappe/list/list_item_main_head.html +31,Title,Titel
apps/frappe/frappe/public/js/frappe/ui/toolbar/navbar.html +44,Logout,Ausloggen
apps/frappe/frappe/templates/includes/web_sidebar.html +11,Logout,Ausloggen
apps/frappe/frappe/templates/includes/web_sidebar.html +24,My Account,Mein Benutzerkonto
apps/frappe/frappe/www/me.html +3,My Account,Mein Benutzerkonto
apps/frappe/frappe/www/me.html +4,My Account,Mein Benutzerkonto
apps/frappe/frappe/public/js/frappe/ui/toolbar/awesome_bar.js +166,Find {0} in <b>Current List</b>,{0} in <b>aktueller Liste</b> finden
apps/frappe/frappe/public/js/frappe/ui/toolbar/awesome_bar.js +283,Find {0} in <b>Target</b>,{0} in <b>Dossiernummer</b> finden
apps/frappe/frappe/public/js/frappe/views/communication.js +18,Send,Senden
apps/frappe/frappe/public/js/frappe/views/communication.js +72,Send me a copy,Mir Kopie senden
apps/frappe/frappe/model/document.py +740,Incorrect value: {0} must be {1} {2},Ungültiger Wert: {0} muss {1} {2} sein
apps/frappe/frappe/public/js/frappe/desk.js +76,You have unsaved changes. Are you sure you want to leave page?,Ungesicherte Änderungen gehen verloren - wollen Sie die Seite wirklich verlassen?
apps/frappe/frappe/public/js/frappe/router.js +153,You have unsaved changes. Are you sure you want to leave page?,Ungesicherte Änderungen gehen verloren - wollen Sie die Seite wirklich verlassen?
apps/frappe/frappe/model/document.py +740,Incorrect value: Grand Total (Company Currency) must be >= 0.0,Ungültiger Wert: Der Gesamtbetrag muss > 0.00 sein
apps/frappe/frappe/public/js/frappe/form/print_layout.html +16,Copy,Kopie
ubdates DocType: Cost Center,"Select Monthly Distribution, if you want to track based on seasonality.","Bitte ""Monatsweise Verteilung"" wählen, wenn saisonbedingt aufgezeichnet werden soll."
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.py +80,Warning: Same item has been entered multiple times.,Warnung: Gleicher Artikel wurde mehrfach eingegeben.
apps/erpnext/erpnext/accounts/doctype/account/account.py +45,Account {0}: Parent account {1} can not be a ledger,Konto {0}: Übergeordnetes Konto {1} kann kein Kontenblatt sein
apps/erpnext/erpnext/config/setup.py +93,Email Notifications,E-Mail-Benachrichtigungen
apps/erpnext/erpnext/manufacturing/doctype/production_order/production_order.py +169,"Stopped Production Order cannot be cancelled, Unstop it first to cancel",Angehaltener Fertigungsauftrag kann nicht storniert werden. Bitte zuerst den Fertigungsauftrag fortsetzen um ihn dann zu stornieren
apps/erpnext/erpnext/shopping_cart/doctype/shopping_cart_settings/shopping_cart_settings.py +36,Currency is required for Price List {0},Währung für Preisliste {0} erforderlich
apps/erpnext/erpnext/buying/doctype/purchase_order/purchase_order.js +661,From Material Request,Von Materialanfrage
apps/erpnext/erpnext/selling/page/sales_browser/sales_browser.js +37,{0} Tree,{0} Baumstruktur
apps/erpnext/erpnext/accounts/doctype/purchase_invoice/purchase_invoice.js +114,Actual type tax cannot be included in Item rate in row {0},Tatsächliche Steuerart kann nicht im Artikelpreis in Zeile {0} beinhaltet sein
DocType: Features Setup,"All export related fields like currency, conversion rate, export total, export grand total etc are available in Delivery Note, POS, Quotation, Sales Invoice, Sales Order etc.","Alle mit dem Export verknüpften Felder (wie z. B. Währung, Wechselkurs, Summe Export, Gesamtsumme Export usw.) sind in Lieferschein, POS, Angebot, Ausgangsrechnung, Kundenauftrag usw. verfügbar"
apps/erpnext/erpnext/accounts/doctype/gl_entry/gl_entry.py +177,Outstanding for {0} cannot be less than zero ({1}),Ausstände für {0} können nicht kleiner als Null sein ({1})
apps/erpnext/erpnext/setup/doctype/naming_series/naming_series.py +148,Series Updated Successfully,Serie erfolgreich aktualisiert
DocType: Quality Inspection Reading,Parameter,Parameter
apps/erpnext/erpnext/projects/doctype/project/project.py +43,Expected End Date can not be less than Expected Start Date,Voraussichtliches Enddatum kann nicht vor dem voraussichtlichen Startdatum liegen
apps/erpnext/erpnext/utilities/transaction_base.py +107,Row # {0}: Rate must be same as {1}: {2} ({3} / {4}),Zeile # {0}: Ansatz muss der selber sein wie auf de {1}: {2} ({3} / {4})
apps/erpnext/erpnext/hr/doctype/leave_application/leave_application.py +206,New Leave Application,Neuer Urlaubsantrag
apps/erpnext/erpnext/setup/setup_wizard/install_fixtures.py +134,Bank Draft,Bankwechsel
DocType: Features Setup,1. To maintain the customer wise item code and to make them searchable based on their code use this option,"Diese Option wird verwendet, um die kundenspezifische Artikelnummer zu erhalten und den Artikel aufgrund der Artikelnummer auffindbar zu machen"
apps/erpnext/erpnext/stock/doctype/item/item.js +49,Show Variants,Varianten anzeigen
